trip_id,driver_id,pickup_time,pickup_zone,drop_zone,distance_km,surge_multiplier,fare,drop_time
180,498,2026-01-02 20:45:00,Indiranagar,MG Road,14.69,1.0,270.0,2026-01-02 21:29:00
181,459,2026-01-02 21:00:00,Jayanagar,Jayanagar,10.93,2.0,428.0,2026-01-02 21:32:00
182,383,2026-01-02 21:15:00,Indiranagar,Koramangala,21.43,2.0,743.0,2026-01-02 22:19:00
183,493,2026-01-02 21:30:00,MG Road,Whitefield,2.1,1.2,98.0,2026-01-02 21:36:00
184,307,2026-01-02 21:45:00,Koramangala,Indiranagar,13.96,1.2,311.0,2026-01-02 22:26:00
185,115,2026-01-02 22:00:00,Jayanagar,Whitefield,6.99,2.0,310.0,2026-01-02 22:20:00
186,446,2026-01-02 22:15:00,Koramangala,Koramangala,19.1,1.0,336.0,2026-01-02 23:12:00
187,142,2026-01-02 22:30:00,MG Road,Koramangala,2.99,1.0,95.0,2026-01-02 22:38:00
188,480,2026-01-02 22:45:00,MG Road,MG Road,21.13,1.2,440.0,2026-01-02 23:48:00
189,561,2026-01-02 23:00:00,Koramangala,Whitefield,21.28,2.0,738.0,2026-01-03 00:03:00
190,279,2026-01-02 23:15:00,Koramangala,Koramangala,21.16,1.2,441.0,2026-01-03 00:18:00
191,163,2026-01-02 23:30:00,Koramangala,Whitefield,5.51,1.5,199.0,2026-01-02 23:46:00
192,452,2026-01-02 23:45:00,MG Road,Koramangala,16.5,1.0,298.0,2026-01-03 00:34:00
193,331,2026-01-03 00:00:00,Whitefield,Indiranagar,2.33,1.0,85.0,2026-01-03 00:06:00
194,341,2026-01-03 00:15:00,Koramangala,Koramangala,21.5,1.0,372.0,2026-01-03 01:19:00
195,152,2026-01-03 00:30:00,Jayanagar,Whitefield,18.63,2.0,659.0,2026-01-03 01:25:00
196,196,2026-01-03 00:45:00,MG Road,MG Road,14.22,1.0,263.0,2026-01-03 01:27:00
197,488,2026-01-03 01:00:00,Indiranagar,Whitefield,18.8,1.0,332.0,2026-01-03 01:56:00
198,322,2026-01-03 01:15:00,Indiranagar,Jayanagar,4.17,2.0,225.0,2026-01-03 01:27:00
199,585,2026-01-03 01:30:00,Jayanagar,Whitefield,14.16,1.0,262.0,2026-01-03 02:12:00
200,507,2026-01-03 01:45:00,Whitefield,Indiranagar,8.7,1.5,271.0,2026-01-03 02:11:00
201,331,2026-01-03 02:00:00,Koramangala,Indiranagar,24.37,1.0,416.0,2026-01-03 03:13:00
202,337,2026-01-03 02:15:00,MG Road,Indiranagar,21.71,1.0,376.0,2026-01-03 03:20:00
203,243,2026-01-03 02:30:00,Koramangala,Koramangala,18.87,1.2,400.0,2026-01-03 03:26:00
204,271,2026-01-03 02:45:00,MG Road,Indiranagar,23.48,2.0,804.0,2026-01-03 03:55:00
205,129,2026-01-03 03:00:00,Indiranagar,Whitefield,9.98,1.0,200.0,2026-01-03 03:29:00
206,136,2026-01-03 03:15:00,Koramangala,MG Road,22.72,1.5,586.0,2026-01-03 04:23:00
207,113,2026-01-03 03:30:00,Jayanagar,Indiranagar,9.48,1.0,192.0,2026-01-03 03:58:00
208,260,2026-01-03 03:45:00,Whitefield,Whitefield,18.85,1.0,333.0,2026-01-03 04:41:00
209,427,2026-01-03 04:00:00,Jayanagar,Koramangala,18.94,1.0,334.0,2026-01-03 04:56:00
210,287,2026-01-03 04:15:00,Whitefield,Koramangala,2.42,1.5,129.0,2026-01-03 04:22:00
211,343,2026-01-03 04:30:00,Koramangala,MG Road,10.3,1.0,204.0,2026-01-03 05:00:00
212,186,2026-01-03 04:45:00,Koramangala,MG Road,2.45,1.0,87.0,2026-01-03 04:52:00
213,384,2026-01-03 05:00:00,Whitefield,Whitefield,24.93,1.5,636.0,2026-01-03 06:14:00
214,166,2026-01-03 05:15:00,Indiranagar,MG Road,4.81,1.0,122.0,2026-01-03 05:29:00
215,270,2026-01-03 05:30:00,MG Road,MG Road,14.48,1.0,267.0,2026-01-03 06:13:00
216,145,2026-01-03 05:45:00,Jayanagar,Koramangala,20.18,1.0,353.0,2026-01-03 06:45:00
217,162,2026-01-03 06:00:00,Jayanagar,Whitefield,6.63,1.2,179.0,2026-01-03 06:19:00
218,541,2026-01-03 06:15:00,Jayanagar,MG Road,13.16,1.0,247.0,2026-01-03 06:54:00
219,234,2026-01-03 06:30:00,Koramangala,Whitefield,15.97,1.5,434.0,2026-01-03 07:17:00
220,384,2026-01-03 06:45:00,Jayanagar,Indiranagar,5.68,1.0,135.0,2026-01-03 07:02:00
221,128,2026-01-03 07:00:00,MG Road,Koramangala,19.91,1.0,349.0,2026-01-03 07:59:00
222,208,2026-01-03 07:15:00,MG Road,Koramangala,8.88,1.5,275.0,2026-01-03 07:41:00
223,144,2026-01-03 07:30:00,Whitefield,Koramangala,6.85,1.0,153.0,2026-01-03 07:50:00
224,440,2026-01-03 07:45:00,Koramangala,Jayanagar,14.84,1.5,409.0,2026-01-03 08:29:00
225,386,2026-01-03 08:00:00,MG Road,Whitefield,11.44,1.0,222.0,2026-01-03 08:34:00
226,546,2026-01-03 08:15:00,Indiranagar,Indiranagar,23.17,1.0,398.0,2026-01-03 09:24:00
227,431,2026-01-03 08:30:00,Koramangala,MG Road,22.24,1.0,384.0,2026-01-03 09:36:00
228,228,2026-01-03 08:45:00,Koramangala,Indiranagar,13.12,1.0,247.0,2026-01-03 09:24:00
229,448,2026-01-03 09:00:00,MG Road,Whitefield,10.26,1.0,204.0,2026-01-03 09:30:00
230,573,2026-01-03 09:15:00,Indiranagar,Koramangala,9.49,1.0,192.0,2026-01-03 09:43:00
231,331,2026-01-03 09:30:00,Whitefield,Jayanagar,8.15,1.0,172.0,2026-01-03 09:54:00
232,290,2026-01-03 09:45:00,MG Road,Whitefield,14.52,1.0,268.0,2026-01-03 10:28:00
233,325,2026-01-03 10:00:00,Indiranagar,Whitefield,20.51,1.0,358.0,2026-01-03 11:01:00
234,485,2026-01-03 10:15:00,Koramangala,MG Road,9.15,1.0,187.0,2026-01-03 10:42:00
235,477,2026-01-03 10:30:00,Indiranagar,Indiranagar,6.37,1.0,146.0,2026-01-03 10:49:00
236,383,2026-01-03 10:45:00,Koramangala,Indiranagar,12.94,1.0,244.0,2026-01-03 11:23:00
237,546,2026-01-03 11:00:00,MG Road,MG Road,3.59,1.0,104.0,2026-01-03 11:10:00
238,221,2026-01-03 11:15:00,MG Road,Jayanagar,18.13,1.2,386.0,2026-01-03 12:09:00
239,216,2026-01-03 11:30:00,Jayanagar,Koramangala,13.92,1.2,311.0,2026-01-03 12:11:00
240,561,2026-01-03 11:45:00,Jayanagar,Koramangala,13.42,1.0,251.0,2026-01-03 12:25:00
241,333,2026-01-03 12:00:00,Jayanagar,Jayanagar,8.91,1.0,184.0,2026-01-03 12:26:00
242,359,2026-01-03 12:15:00,MG Road,MG Road,22.81,1.0,392.0,2026-01-03 13:23:00
243,459,2026-01-03 12:30:00,Whitefield,Whitefield,4.08,1.5,167.0,2026-01-03 12:42:00
244,298,2026-01-03 12:45:00,MG Road,Indiranagar,22.01,1.0,380.0,2026-01-03 13:51:00
245,556,2026-01-03 13:00:00,Indiranagar,Whitefield,10.66,1.0,210.0,2026-01-03 13:31:00
246,511,2026-01-03 13:15:00,MG Road,Indiranagar,22.25,1.0,384.0,2026-01-03 14:21:00
247,237,2026-01-03 13:30:00,MG Road,Whitefield,18.76,1.5,497.0,2026-01-03 14:26:00
248,418,2026-01-03 13:45:00,Koramangala,MG Road,4.4,1.2,139.0,2026-01-03 13:58:00
249,265,2026-01-03 14:00:00,Koramangala,MG Road,21.13,1.0,367.0,2026-01-03 15:03:00
250,325,2026-01-03 14:15:00,Koramangala,Jayanagar,17.69,1.0,315.0,2026-01-03 15:08:00
251,407,2026-01-03 14:30:00,MG Road,Whitefield,2.74,1.5,137.0,2026-01-03 14:38:00
252,334,2026-01-03 14:45:00,Whitefield,Whitefield,5.08,1.0,126.0,2026-01-03 15:00:00
253,272,2026-01-03 15:00:00,Indiranagar,Jayanagar,16.62,1.0,299.0,2026-01-03 15:49:00
254,252,2026-01-03 15:15:00,Indiranagar,Jayanagar,17.24,1.2,370.0,2026-01-03 16:06:00
255,563,2026-01-03 15:30:00,Whitefield,MG Road,19.17,1.0,338.0,2026-01-03 16:27:00
256,415,2026-01-03 15:45:00,Whitefield,MG Road,18.57,1.0,329.0,2026-01-03 16:40:00
